Dataset,Model,MAE,RMSE,PCC,PRD
PTBXL,ECGRecover,0.043029476,0.08204277,0.92730975,38.62908
PTBXL,MaeFE,0.05279709,0.0823221,0.9240325,37.75141
PTBXL,EKGAN,0.13633285,0.21688412,-0.014655107,104.56608
PTBXL,DeScoD,0.051829617,0.08522187,0.9219792,40.01158
PTBXL,Unet_Flow,0.03634983,0.061193783,0.9595564,27.873125
PTBXL,Unet_MoE_Flow,0.038744587,0.06475222,0.95465595,30.386494
LUDB,ECGRecover,0.040709376,0.0812377,0.91593343,41.406933
LUDB,MaeFE,0.05366485,0.087905355,0.89732075,42.87903
LUDB,EKGAN,0.12670214,0.20492335,-0.022702876,105.45461
LUDB,DeScoD,0.050249413,0.08383233,0.91502106,41.887917
LUDB,Unet_Flow,0.036537096,0.064554766,0.94945437,30.932135
LUDB,Unet_MoE_Flow,0.03801281,0.06617065,0.94500446,32.905277
